web-1  | [05:48:07] INFO     factory              [GROUPED] ✓ GET /static/js/table-utils.js → 200 (2ms) (repeated 2x in 60s)
web-1  | [05:48:07] INFO     factory              ✓ GET /static/js/app.js → 200 (5ms)
web-1  | [05:48:08] INFO     factory              [GROUPED] ✓ GET /static/favicon.ico → 200 (0ms) (repeated 2x in 60s)
web-1  | [05:48:10] INFO     task_executor_thread [GROUPED] [POLL] Service alive - no tasks selected by queue service (repeated 3x in 60s)
web-1  | [05:48:25] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:48:25] "GET /health HTTP/1.1" 200 -
web-1  | [05:48:30] INFO     task_service         [GROUPED] [QUEUE] get_next_tasks called with limit=5 (repeated 13x in 60s)
web-1  | [05:48:35] INFO     task_service         [QUEUE] get_next_tasks called with limit=5
web-1  | [05:48:55] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:48:55] "GET /health HTTP/1.1" 200 -
web-1  | [05:49:00] INFO     task_executor_thread [POLL] Service alive - no tasks selected by queue service
web-1  | [05:49:25] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:49:25] "GET /health HTTP/1.1" 200 -
web-1  | [05:49:35] INFO     task_service         [GROUPED] [QUEUE] get_next_tasks called with limit=5 (repeated 13x in 60s)
web-1  | [05:49:40] INFO     task_service         [QUEUE] get_next_tasks called with limit=5
web-1  | [05:49:55] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:49:55] "GET /health HTTP/1.1" 200 -
web-1  | [05:50:25] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:50:25] "GET /health HTTP/1.1" 200 -
web-1  | [05:50:40] INFO     task_service         [GROUPED] [QUEUE] get_next_tasks called with limit=5 (repeated 13x in 60s)
web-1  | [05:50:40] INFO     task_executor_thread [GROUPED] [POLL] Service alive - no tasks selected by queue service (repeated 3x in 60s)
web-1  | [05:50:45] INFO     task_service         [QUEUE] get_next_tasks called with limit=5
web-1  | [05:50:56] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:50:56] "GET /health HTTP/1.1" 200 -
web-1  | [05:51:26] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:51:26] "GET /health HTTP/1.1" 200 -
web-1  | [05:51:30] INFO     task_executor_thread [POLL] Service alive - no tasks selected by queue service
web-1  | [05:51:45] INFO     task_service         [GROUPED] [QUEUE] get_next_tasks called with limit=5 (repeated 13x in 60s)
web-1  | [05:51:50] INFO     task_service         [QUEUE] get_next_tasks called with limit=5
web-1  | [05:51:56] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:51:56] "GET /health HTTP/1.1" 200 -
