celery-worker-1  | [2026-01-29 05:50:52,524: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:55,170: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:50:55,526: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:50:58,531: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:00,177: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:01,533: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:04,538: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:05,184: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:07,544: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:10,191: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:10,549: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:13,551: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:15,197: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:16,556: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:19,561: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:20,204: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:22,566: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:25,211: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:25,571: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:28,576: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:30,217: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:31,581: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:34,586: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:35,221: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:37,591: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:40,228: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:40,597: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:43,602: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:45,235: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:46,608: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:49,613: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:50,241: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:52,618: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:55,248: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:51:55,623: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:51:58,626: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:52:00,255: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:52:01,630: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:52:04,633: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:52:05,257: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
